FECHA DEL EVENTO;DIRECCIÃ“N ATENCIÃ“N DEL INCIDENTE;LATITUD;LONGITUD;Tiempo de Respuesta;Tiempo total evento;RECURSOS;RECURSOS2;RECURSOS3;RECURSOS4;RECURSOS5;RECURSOS6;RECURSOS7;TOTAL RECURSOS;J1;J2;Cdte.;Sub. Cdte.;Tte.;Sgto.;Cabo;Bro.;Otro;Total;SERVICIO;CLASE DE SERVICIO;SUBCLASE DE SERVICIO;TIPO SUBCLASE DE SERVICIO;USO DE LA EDIFICACION ;CLASE DE USO DE LA EDIFICACION ;CLASE DE VEHÃCULO;SUBCLASE DE VEHÃCULO;ÃREA AFECTADA EN MTS2 EVENTOS FORESTALES;ÃREA EXPUESTA EN MTS2 EVENTOS FORESTALES;ORIGEN DE LA CAUSA COLOCAR EL TITULO DE CADA SERVICIO PARA LAS CAUSA;CAUSAS;PoblaciÃ³n Expuesta Hombres;PoblaciÃ³n Expuesta Mujeres;PoblaciÃ³n Expuesta NiÃ±as;PoblaciÃ³n Expuesta NiÃ±os;PoblaciÃ³n Afectada Hombres;PoblaciÃ³n Afectada Mujeres;PoblaciÃ³n Afectada NiÃ±as;PoblaciÃ³n Afectada NiÃ±os;Rescatados Hombres;Rescatados Mujeres;Rescatados NiÃ±as;Rescatados NiÃ±os;Heridos Hombres;Heridos Mujeres;Heridos NiÃ±as;Heridos NiÃ±os;Sin signos vitales Hombres;Sin signos vitales Mujeres;Sin signos vitales NiÃ±as;Sin signos vitales NiÃ±os;
domingo 2 de febrero de 2020;KR 19 93 52;4,678901190000090;-74,054486485999900;0:09:00;2:00:00;ME-37;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.12 SUPERFICIES CALIENTES;ACCIDENTAL;2;;;;2;;;;;;;;2;;;;;;;;
domingo 2 de febrero de 2020;KR 99G 40 SUR;4,649858769000050;-74,176528664999900;0:11:00;2:22:00;ME-22;;;;;;;1;;;;;;;1;3;;4;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.10 LLAMA ABIERTA;ACCIDENTAL;;1;;;;1;;;;;;;;;;;;;;;
domingo 2 de febrero de 2020;KR 64 79 1;4,679450829000070;-74,079013734999900;0:06:00;2:15:00;ME-29;CT-4;;;;;;2;;;;;;1;1;6;;8;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.3.1 LLAMA ABIERTA;PROVOCADA;1;;;;1;;;;;;;;;;;;;;;;
lunes 3 de febrero de 2020;KR 1B ESTE 75B 68 SUR;4,513859766105760;-74,113223552466700;0:08:00;1:10:00;ME-06;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.4.1 INDETERMINADA;INDETERMINADA;1;;;;1;;;;;;;;;;;;;;;;
lunes 3 de febrero de 2020;CL 70A 57B 74;4,670168364000060;-74,080409619999900;0:07:00;0:45:00;ME-37;;;;;;;1;;;;;;1;1;9;;11;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.10 LLAMA ABIERTA;ACCIDENTAL;;1;;;;1;;;;;;;;;;;;;;;
martes 4 de febrero de 2020;CL 103 69B 43;4,694518882000070;-74,072637999999900;0:08:00;1:52:00;ME-29;CT-4;;;;;;2;;;;;;1;1;5;;7;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.2 INDUSTRIAL;1.1.2.1 FABRICAS;;;;;1.1.1.12 SUPERFICIES CALIENTES;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;;
martes 4 de febrero de 2020;BOSQUES DE PINO;4,723119000000000;-74,022166000000000;0:15:00;5:14:00;ME-03;X-19;VU-10;;;;;3;;;;;;1;1;6;;8;1. INCENDIOS;1.3 FORESTALES;1.3.2 CONATOS DE 0 HASTA 5000 MTS/2;1.3.2.1 VEGETACIÃ“N NATIVA;;;;;200;10000;1.3.1.10 LLAMA ABIERTA;ACCIDENTAL;;;;;;;;;;;;;;;;;;;;;
martes 4 de febrero de 2020;KR 86 145B;4,762222000000000;74,100833000000000;0:17:00;2:18:00;ME-47;;;;;;;1;;;;;;1;;5;;6;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;300;600000;1.3.1.10 LLAMA ABIERTA;ACCIDENTAL;;;;;;;;;;;;;;;;;;;;;
martes 4 de febrero de 2020;KR 21 40 61;4,630453775000090;-74,074375322999900;0:06:00;1:15:00;ME-45;ME-37;;;;;;2;;;;;;1;1;8;;10;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.6 FALLA ELECTRICA;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;;
miÃ©rcoles 5 de febrero de 2020;KR 70 106;4,696171180000080;-74,072409599999900;0:09:00;0:48:00;ME-29;;;;;;;1;;;;;;1;;3;;4;1. INCENDIOS;1.2 VEHICULARES;;;;;1.2.1 VEHÃCULO PARTICULAR;1.2.1.1 AUTOMÃ“VIL;;;1.2.1.6 FALLA ELECTRICA;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;;
miÃ©rcoles 5 de febrero de 2020;KR 55 2 37 SUR;4,615595006740420;-74,123221447603300;0:09:00;2:55:00;ME-34;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.10 LLAMA ABIERTA;ACCIDENTAL;1;1;;;1;1;;;;;;;;;;;;;;;
miÃ©rcoles 5 de febrero de 2020;KR 6 ESTE 97B 51 SUR;4,495542580000060;-74,103736810999900;0:09:00;1:07:00;ME-06;;;;;;;1;;;;;;;2;3;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.6 FALLA ELECTRICA;ACCIDENTAL;1;1;;;1;1;;;;;;;;;;;;;;;
miÃ©rcoles 5 de febrero de 2020;KR 5A ESTE 91 0 SUR;4,496887715000070;-74,103741514999900;0:28:00;2:08:00;ME-06;;;;;;;1;;;;;;;1;2;;3;1. INCENDIOS;1.3 FORESTALES;1.3.2 CONATOS DE 0 HASTA 5000 MTS/2;1.3.2.5 RETAMO ESPINOSO;;;;;100;RESERVA FORESTAL;1.3.1.9 FUENTE DE CALOR NO IDENTIFICADA;ACCIDENTAL;;;;;;;;;;;;;;;;;;;;;
