FECHA DEL EVENTO;DIRECCIÓN ATENCIÓN DEL INCIDENTE;LATITUD;LONGITUD;Tiempo de Respuesta;Tiempo total evento;RECURSOS;RECURSOS2;RECURSOS3;RECURSOS4;RECURSOS5;RECURSOS6;RECURSOS7;TOTAL RECURSOS;J1;J2;Cdte.;Sub. Cdte.;Tte.;Sgto.;Cabo;Bro.;Otro;Total;SERVICIO;CLASE DE SERVICIO;SUBCLASE DE SERVICIO;TIPO SUBCLASE DE SERVICIO;USO DE LA EDIFICACION ;CLASE DE USO DE LA EDIFICACION ;CLASE DE VEHÍCULO;SUBCLASE DE VEHÍCULO;ÁREA AFECTADA EN MTS2 EVENTOS FORESTALES;ÁREA EXPUESTA EN MTS2 EVENTOS FORESTALES;ORIGEN DE LA CAUSA COLOCAR EL TITULO DE CADA SERVICIO PARA LAS CAUSA;CAUSAS;Población Expuesta Hombres;Población Expuesta Mujeres;Población Expuesta Niñas;Población Expuesta Niños;Población Afectada Hombres;Población Afectada Mujeres;Población Afectada Niñas;Población Afectada Niños;Rescatados Hombres;Rescatados Mujeres;Rescatados Niñas;Rescatados Niños;Heridos Hombres;Heridos Mujeres;Heridos Niñas;Heridos Niños;Sin signos vitales Hombres;Sin signos vitales Mujeres;Sin signos vitales Niñas;Sin signos vitales Niños
viernes 3 de enero de 2020;CL 146 SUR 3A 48;446.800.072.500.008;-741.240.369.449.999;0:11:00;1:32:00;ME-40;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.4.1 INDETERMINADA;INDETERMINADA;;2;;;;2;;;;;;;;;;;;;;
viernes 3 de enero de 2020;;479.022.394.224.001;-740.938.703.771.275;0:03:00;1:53:00;ME-32;;;;;;;1;;;;;;1;;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.12 ADMINISTRACIÓN PÚBLICA;1.1.12.2 SEDES ADMINISTRATIVAS DE SERVICIOS PÚBLICOS;;;;;1.1.1.10 LLAMA ABIERTA;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;
sábado 4 de enero de 2020;KR 14A    53    35 SUR ;456.278.168.228.024;-74.126.964.481.544;0:07:00;1:41:00;ME-40;;;;;;;1;;;;;;;1;5;;6;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.4 COMERCIAL;1.1.4.2 COMERCIO ZONAL;;;;;1.1.1.6  FALLA ELECTRICA;ACCIDENTAL;2;;;;2;;;;;;;;;;;;;;;
sábado 4 de enero de 2020;CL 165    7      ;474.115.957.300.006;-740.225.771.309.999;0:08:00;2:16:00;ME-42;"CT-10
";;;;;;2;;;;;;2;1;4;;7;1. INCENDIOS;1.2 VEHICULARES;;;;;1.2.4 VEHÍCULO DE TRANSPORTE MASIVO;1.2.4.4 SITP - BUS;;;1.2.1.13  SUPERFICIES CALIENTES;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;
sábado 4 de enero de 2020;KR 13    13    37  ;460.350.085.600.004;-740.787.877.969.999;0:03:00;2:52:00;ME-21;UR-01;CT-1;;;;;3;;;;;;2;2;9;;13;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;1;6;2;;1;6;2;;1;3;2;;;2;;;;;;
sábado 4 de enero de 2020;CL 13A    83    25  ;465.347.600.000.007;-741.411.564.749.999;0:07:00;2:39:00;ME-16;CT-8;;;;;;2;;;;;;;1;6;;8;1. INCENDIOS;1.2 VEHICULARES;;;"
";;1.2.1 VEHÍCULO  PARTICULAR;1.2.1.2 CAMIONETA;;;1.2.1.13  SUPERFICIES CALIENTES;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;
sábado 4 de enero de 2020;CL 48B   SUR 10B    61  ;456.342.148.900.006;-741.137.311.999.999;0:16:00;3:17:00;ME-40;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;300;30000;1.3.3.3  OTRAS, CUAL, DESCRIBALA;PROVOCADA;;;;;;;;;;;;;;;;;;;;
sábado 4 de enero de 2020;CL 26   SUR 78H    30  ;462.731.199.700.005;-741.496.781.679.999;0:04:00;0:59:00;ME-22;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;;2;;;;2;;;;;;;;1;;;;;;
sábado 4 de enero de 2020;CL 84C   SUR 14    51  ;450.838.211.074.667;-74.114.740.273.735;0:08:00;4:41:00;ME-31;;;;;;;1;;;;;;;1;3;;4;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;30;300;1.3.3.3  OTRAS, CUAL, DESCRIBALA;PROVOCADA;;;;;;;;;;;;;;;;;;;;
sábado 4 de enero de 2020;CL 79F   SUR 1A    26 ESTE ;451.059.347.045.196;-741.045.072.857.517;0:08:00;3:43:00;ME-31;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;70;400;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;;;;;;;;;;;;;;;;;
