FECHA DEL;DIRECCIÓN;Latitud;Longitud;Tiempo de;Tiempo tot;RECURSOS;RECURSOS2;RECURSOS3;RECURSOS4;RECURSOS5;RECURSOS6;RECURSOS7;TOTAL RECU;J1;J2;Cdte.;Sub. Cdte.;Tte.;Sgto.;Cabo;Bro.;Otro;Total;SERVICIO;CLASE DE S;SUBCLASE D;TIPO SUBCL;USO DE LA;CLASE DE U;SUBCLASE_1;CLASE DE V;SUBCLASE_2;ÁREA AFEC;ÁREA EXPU;ORIGEN DE;CAUSAS;Población;Poblaci�_1;Poblaci�_2;Poblaci�_3;Poblaci�_4;Poblaci�_5;Poblaci�_6;Poblaci�_7;Rescatados;Rescatad_1;Rescatad_2;Rescatad_3;Heridos Ho;Heridos Mu;Heridos Ni;Heridos _1;Sin signos;Sin sign_1;Sin sign_2;Sin sign_3;NVA CLASIF;NAME CLAS
"sábado, 5 de octubre de 2019";CL 46   SUR 81H    12;"4.624458801000000";"-74.171291969999999";0:06:00;1:10:00;ME-46;CT-6;ME-22;;;;;"3";;;;;;"1";"3";"6";;"10";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.6  FALLA ELECTRICA;ACCIDENTAL;;"1";;;;"1";;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
"domingo, 6 de octubre de 2019";AK 60    120;"4.706070089000000";"-74.070795340000004";0:09:00;0:53:00;ME-29;;;;;;;"1";;;;;;;"1";"4";;"5";1. INCENDIOS;1.2 VEHICULARES;;;;;;1.2.1 VEHÍCULO  PARTICULAR;1.2.1.1 AUTOMÓVIL;;;1.2.1.13  SUPERFICIES CALIENTES;ACCIDENTAL;"1";;;;"1";;;;;;;;;;;;;;;;3.1.1;3.1.1 Gasolina / Gas Natural Vehicular
"domingo, 6 de octubre de 2019";KR 147    139    51;"4.747909182000000";"-74.118516510000006";0:11:00;0:58:00;ME-32;X-37;;;;;;"2";;;;;;"1";"1";"7";;"9";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.7  FALLA EN APARATO ELECTRICO;ACCIDENTAL;;"1";;;;"1";;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
"domingo, 6 de octubre de 2019";CL 161    19A    39;"4.740821416000000";"-74.043799260000000";0:03:00;3:25:00;ME-42;CT-10;X-38;;;;;"3";;;;;;"2";"2";"6";;"10";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.12  SUPERFICIES CALIENTES;ACCIDENTAL;;"2";;;;"2";;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
"domingo, 6 de octubre de 2019";CL 11A    34;"4.614978831000000";"-74.097555139999997";0:03:00;2:54:00;ME-21;UR-01;CT-1;X-43;;;;"4";;;;;;"2";"1";"8";;"11";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.2 INDUSTRIAL;1.1.2.2 BODEGAS;1.1.2.2.2 DISPOSICIÓN DE MATERIALES;;;;;1.1.4.1 INDETERMINADA;INDETERMINADA;;"1";;;;"1";;;;;;;;;;;;;;;"1.5";"1.5 Sistema de almacenamiento, tanques y/0 contenedores"
"lunes, 7 de octubre de 2019";KR 7 45 79;"4.632372811000000";"-74.064103380000006";0:09:00;5:35:00;ME-45;MA-3;X-41;;;;;"3";;;;;;"1";"1";"5";;"7";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;;;1.1.4.1 INDETERMINADA;INDETERMINADA;"1";;;;"1";;;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
"lunes, 7 de octubre de 2019";KR 87J BIS 51 62 SUR;"4.629208414000000";"-74.181190430000001";0:08:00;0:52:00;ME-28;;;;;;;"1";;;;;;;"1";"3";;"4";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.11 REACCION QUIMICA EXOTERMICA;ACCIDENTAL;"1";;;;"1";;;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
"martes, 8 de octubre de 2019";CL 54C SUR 95A 18;"4.638415905000000";"-74.188763829999999";0:13:00;1:30:00;ME-28;;;;;;;"1";;;;;;;"1";"2";;"3";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.12  SUPERFICIES CALIENTES;ACCIDENTAL;;"2";;;;"2";;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
"martes, 8 de octubre de 2019";CL 81C SUR 17F 59;"4.534313588000000";"-74.143804919999994";0:15:00;1:17:00;ME-33;X-47;;;;;;"2";;;;;;"1";"1";"5";;"7";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.2 SUBNORMAL;;;;;;1.1.1.8  FALLA EN APARATO ELECTRONICO;ACCIDENTAL;;"2";;;;"2";;;;;;;;;;;;;;;1.1.3;1.1.3 Estructuras Residenciales No Formales
"martes, 8 de octubre de 2019";KR 77A 77 1;"4.696819429000000";"-74.095857559999999";0:00:00;1:08:00;ME-29;;;;;;;"1";;;;;"1";"1";;"4";;"6";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;"1";"1";"1";;"1";"1";"1";;"1";"1";"1";;"1";"1";"1";;;;;;1.1.2;1.1.2 Estructuras Formales
