No,NOMBRE,PROPIETARI,MUNICIPIO,DEPARTAMEN,DIRECCION,PAIS,result_num,status,formatted_,place_id,location_t,latlong
"331",EDS EL DARIEN,INVERSIONES RENGIFO ROJAS Y  CIA.,BOGOT�,CUNDINAMARCA,CARRERA 69B  26-35,COLOMBIA,"0",OK,"Cra. 69b #26, Antonio Nariño, Bogotá, Colombia",ChIJ7yWPp7CeP44RNiu1X9t1pMc,ROOFTOP,"4.613954,-74.1357146"
"335",EDS BIOMAX TINTAL,GNE SOLUCIONES SAS,BOGOT�,CUNDINAMARCA,AC 54 SUR 89a -55,COLOMBIA,"0",OK,"Ac. 54 Sur, Bosa, Bogotá, Colombia",ChIJO5GZaNudP44Rc-UFFsfO5n0,GEOMETRIC_CENTER,"4.6379492,-74.18778999999999"
"342",EDS ANDES,EXXON MOBIL COLOMBIA - AUTOMARKET,BOGOT�,CUNDINAMARCA,CARRERA 80  58L-15 SUR,COLOMBIA,"0",OK,"Cra. 80 #58, Bogotá, Colombia",ChIJyT0ibWeeP44R7zG8aI9MjmI,ROOFTOP,"4.6104024,-74.1788746"
"348",EDS LA PALMA,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,AV. CRA. 68 NO. 13 - 87,COLOMBIA,"0",OK,"Ak 68 ## 13-73, Bogotá, D.C, Bogotá, Colombia",ChIJqZdT9sKaP44R_VzU3qZUamg,ROOFTOP,"4.639060199999999,-74.1168355"
"351",EDS ESSO AVENIDA BOYACA,EXXON MOBIL COLOMBIA - AUTOMARKET,BOGOT�,CUNDINAMARCA,AV. BOYACA NO. 12B - 35,COLOMBIA,"0",OK,"Av. Boyacá #12b-35, Bogotá, Colombia",EiZBdi4gQm95YWPDoSAjMTJiLTM1LCBCb2dvdMOhLCBDb2xvbWJpYSIaEhgKFAoSCec8il0LnD-OEWclH4debZdXECM,RANGE_INTERPOLATED,"4.646383399999999,-74.1297261"
"358",EDS ALFA COMPRESION S.A./ EDS CENTENARIO,ALFA COMPRESION S.A.,BOGOT�,CUNDINAMARCA,Av  Carrera 45 # 103 - 34,COLOMBIA,"0",OK,"Cra. 45 #103-34, Usaquén, Bogotá, Colombia",ChIJNRoj3sCaP44Rf5xbL2ajMKY,ROOFTOP,"4.6900677,-74.0560368"
"359",EDS LOS FUNDADORES,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,AV. 1A MAYO NO. 68 I-46 SUR,COLOMBIA,"0",OK,"Av. 1 de Mayo #68i-46, Bogotá, Colombia",EihBdi4gMSBkZSBNYXlvICM2OGktNDYsIEJvZ290w6EsIENvbG9tYmlhIhoSGAoUChIJm5zLPLeeP44RzEEF8ZnU7HYQLg,RANGE_INTERPOLATED,"4.612204,-74.13362620000001"
"361",EDS CARREFOUR LA ALQUERIA / EDS CENCOSUD ALQUERIA,ORGANIZACI�N TERPEL S.A.,BOGOT�,CUNDINAMARCA,AV CRA 68 No. 38B 18 SUR,COLOMBIA,"0",OK,"Ak 68 #18-38, Bogotá, Colombia",ChIJfxEBeLSeP44RDWw_TAdO9dM,ROOFTOP,"4.6130252,-74.1276512"
"366",EDS EXPRESO BOGOT�NO,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,AV. 68 NO. 43 - 67SUR,COLOMBIA,"0",OK,"Ak 68 ## 72-43, Bogotá, Colombia",ChIJL3NbrxubP44RVUKQ9LwIeK8,ROOFTOP,"4.6798396,-74.08586319999999"
"375",EDS SAN RAFAEL - PUENTE ARANDA,COMPA��A DE NEGOCIOS,BOGOT�,CUNDINAMARCA,"CRA, 49 NO. 9-24 BARRIO SAN RAFAEL",COLOMBIA,"0",OK,"Cra. 24 #9, Antonio Nariño, Bogotá, Colombia",ChIJCwHUSxGZP44RbzS1yxtfJco,ROOFTOP,"4.6012381,-74.0942859"
"376",EDS GNV BRIO - ALTAMAR,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,AV. CIUDAD DE CALI NO. 99 - 10,COLOMBIA,"0",OK,"Av. Cdad. de Cali #99-10, Bogotá, Colombia",EitBdi4gQ2RhZC4gZGUgQ2FsaSAjOTktMTAsIEJvZ290w6EsIENvbG9tYmlhIhoSGAoUChIJ8TZpa8CEP44RD9ger8ExThwQCg,RANGE_INTERPOLATED,"4.7257555,-74.0993186"
"381",EDS BAVARIA S.A. - CERVECERIA BOGOT�,BAVARIA S.A.,BOGOT�,CUNDINAMARCA,AVENIDA BOYACA NO. 9 - 02,COLOMBIA,"0",OK,"Av. Boyacá #9-2, Bogotá, Colombia",EiNBdi4gQm95YWPDoSAjOS0yLCBCb2dvdMOhLCBDb2xvbWJpYSIaEhgKFAoSCScn7SAQnD-OESlupltp0gt0EAI,RANGE_INTERPOLATED,"4.639381600000001,-74.1359382"
"384",EDS DE GNV PALOQUEMAO,COMBUSTIBLES VEHICULARES DE,BOGOT�,CUNDINAMARCA,TRANSVERSAL 22 NO. 19/28/44/60,COLOMBIA,"0",OK,"Bogota, Colombia",ChIJKcumLf2bP44RFDmjIFVjnSM,APPROXIMATE,"4.710988599999999,-74.072092"
"391",EDS SERVYCOM,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,"CRA, 55 NO. 72 - 32 - BARRIO NORMANDIA",COLOMBIA,"0",OK,"Cra. 71b ##53-35, Bogotá, Colombia",ChIJWZ7T0qedP44RhBpKaQqWn54,ROOFTOP,"4.6707382,-74.1055993"
"399",EDS CARREFOUR MARRUECOS,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,AV. CARACAS NO. 49- 28 SUR,COLOMBIA,"0",OK,"Av. Caracas #49-28, Bogotá, Colombia",EiVBdi4gQ2FyYWNhcyAjNDktMjgsIEJvZ290w6EsIENvbG9tYmlhIhoSGAoUChIJz53CIzCaP44RtVBaBxjNaV0QHA,RANGE_INTERPOLATED,"4.6367275,-74.0670541"
"406",EDS GNCV,GAS CENTRAL DE LA SABANA,BOGOT�,CUNDINAMARCA,AK 72 (AV. BOYACA) NO. 31- 40 SUR,COLOMBIA,"0",OK,"Av. Boyacá #72-33 NO. 31- 40, Engativá, Bogotá, Colombia",EjtBdi4gQm95YWPDoSAjNzItMzMgTk8uIDMxLSA0MCwgRW5nYXRpdsOhLCBCb2dvdMOhLCBDb2xvbWJpYSImGiQKFgoUChIJvdSBHD6bP44RglyguDFWgVwSCk5PLiAzMS0gNDA,ROOFTOP,"4.6874177,-74.0955259"
"413",EDS TEXACO TUNAL LUBRICANTES Y  COMBUSTIBLES DEL,LUBRICANTES Y  COMBUSTIBLES DEL,BOGOT�,CUNDINAMARCA,CALLE 46 SUR NO. 24 A - 03,COLOMBIA,"0",OK,"Cl. 46 Sur #24a-3, Bogotá, Colombia",EiRDbC4gNDYgU3VyICMyNGEtMywgQm9nb3TDoSwgQ29sb21iaWEiGhIYChQKEgnVU2-aLZ8_jhH352hjnY2ixBAD,RANGE_INTERPOLATED,"4.5787749,-74.1277033"
"418",EDS PETROBRAS CALLE 13,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,CALLE 13 NO. 68 B - 88 BARRIO MONTEVIDEO,COLOMBIA,"0",OK,"Bogota, Colombia",ChIJKcumLf2bP44RFDmjIFVjnSM,APPROXIMATE,"4.710988599999999,-74.072092"
"426",EDS LIBERTADORES,EXXON MOBIL COLOMBIA - AUTOMARKET,BOGOT�,CUNDINAMARCA,AV. CARACAS NO. 75 - 18,COLOMBIA,"0",OK,"Av. Caracas #75-18, Bogotá, Colombia",EiVBdi4gQ2FyYWNhcyAjNzUtMTgsIEJvZ290w6EsIENvbG9tYmlhIhoSGAoUChIJpTFyGlmaP44RpnJjqezPf84QEg,RANGE_INTERPOLATED,"4.6632226,-74.0613479"
"427",EDS COUNTRY,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,AV. 19 NO. 127C - 50,COLOMBIA,"0",OK,"Cl. 127c, Suba, Bogotá, Colombia",ChIJ3dPyFMSEP44R51IC0O3NbuE,GEOMETRIC_CENTER,"4.7203341,-74.0938208"
"429",EDS EN BAVARIA S.A. - CERVECERIA LEONA,BAVARIA S.A.,BOGOT�,CUNDINAMARCA,"AUTOP. NORTE KM. 30 VIA BOGOT� - TUNJA, TOCANCIPA - CUNDINAMARCA",COLOMBIA,"0",OK,"Bogotá - Tunja #30, Tocancipá, Cundinamarca, Colombia",EjdCb2dvdMOhIC0gVHVuamEgIzMwLCBUb2NhbmNpcMOhLCBDdW5kaW5hbWFyY2EsIENvbG9tYmlhIhoSGAoUChIJL2rMPcBzQI4RyMMHQ1wols4QHg,RANGE_INTERPOLATED,"4.9637765,-73.91390559999999"
"430",EDS TEXACO SUBA EDS LA JUANA,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,AV. CALLE 145 NO. 94D - 95,COLOMBIA,"0",OK,"Cl. 145 #94d-95, Bogotá, Colombia",EiJDbC4gMTQ1ICM5NGQtOTUsIEJvZ290w6EsIENvbG9tYmlhIhoSGAoUChIJkTTTcPqEP44RoM-pWLGtjxMQXw,RANGE_INTERPOLATED,"4.7403305,-74.0885436"
"435",EDS TERPEL LA 49 NORMANDIA,ORGANIZACION TERPEL S.A.,BOGOTA,CUNDINAMARCA,CARRERA 72 No. 49 - 30 (NORMANDIA),COLOMBIA,"0",OK,"Av. Boyacá #49-30, Bogotá, Colombia",EiVBdi4gQm95YWPDoSAjNDktMzAsIEJvZ290w6EsIENvbG9tYmlhIhoSGAoUChIJM50fznebP44RydSXi5koGxoQHg,RANGE_INTERPOLATED,"4.6680626,-74.10963819999999"
"436",EDS TERPEL CONEJERA,ORGANIZACI�N TERPEL S.A.,BOGOT�,CUNDINAMARCA,CRA. 98 NO. 140B - 86,COLOMBIA,"0",OK,"Cl. 98 #140-10, Bogotá, Colombia",ChIJbYuvJZSaP44RJVf4_U10e1k,ROOFTOP,"4.6828011,-74.0481422"
"441",EDS CARREFOUR BOSA - ATALAYAS,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,CRA 92 NO. 60-90 SUR,COLOMBIA,"0",OK,"Cra. 92 #148-90, Bogotá, Cundinamarca, Colombia",ChIJCf6Zw9-dP44RhynFfRwfrgs,ROOFTOP,"4.630998,-74.19349"
"443",EDS AUTOSERVICIO AV. TERCERA,DISTRIBUIDORA DE CARBURANTES,BOGOT�,CUNDINAMARCA,AV. CALLE 3 NO. 34 A - 82,COLOMBIA,"0",OK,"Ac. 3 #34A-82, Puente Aranda, Bogotá, Colombia",ChIJOe5-rECZP44R77R6VNXuKzE,ROOFTOP,"4.6078892,-74.10617950000001"
"444",EDS YOMASA,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,CARRERA 3D No. 88-04 SUR,COLOMBIA,"0",OK,"Bogota, Colombia",ChIJKcumLf2bP44RFDmjIFVjnSM,APPROXIMATE,"4.710988599999999,-74.072092"
"450",EDS CARREFOUR EL TREBOL,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,GAS NATURAL FENOSA,COLOMBIA,"0",OK,"Cra. 17 #16-14, Antonio Nariño, Bogotá, Colombia",ChIJr6019w-ZP44RbIJ3rx97v44,ROOFTOP,"4.597481,-74.087921"
"454",EDS IBERIA,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,CLL 134 NO. 53 - 51,COLOMBIA,"0",OK,"Cl. 134 ##53-51, Bogotá, Colombia",ChIJzRdoaDmFP44Rzo_1BR762Og,ROOFTOP,"4.7198663,-74.0588771"
"458",EDS BRIO BIMA,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,AUTOP. NORTE 232 - 35,COLOMBIA,"0",OK,"Autopista Nte. #232-35, Suba, Bogotá, Colombia",ChIJHYvDSSKGP44RFn7zDJ3Woe0,ROOFTOP,"4.8077187,-74.0374582"
"468",EDS GNV PRADERA DE SUBA,A.B.A. CENTRAL DE COMBUSTIBLES Y,BOGOT�,CUNDINAMARCA,CRA. 104 NO. 151C - 84,COLOMBIA,"0",OK,"Cra. 104 #151c-84, Bogotá, Colombia",EiRDcmEuIDEwNCAjMTUxYy04NCwgQm9nb3TDoSwgQ29sb21iaWEiGhIYChQKEgkRshRcWYQ_jhEwJslWBg0_ZhBU,RANGE_INTERPOLATED,"4.7517939,-74.09324629999999"
"469",EDS AMERICAS II,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,CARRERA 54 NO. 5C - 91,COLOMBIA,"0",OK,"Carrera 54 #5c-91, Bogotá, Colombia",EiRDYXJyZXJhIDU0ICM1Yy05MSwgQm9nb3TDoSwgQ29sb21iaWEiGhIYChQKEgn_su8GWJk_jhF3ZhcysbJj7BBb,RANGE_INTERPOLATED,"4.627323,-74.1118494"
"477",EDS PETROBRAS VERGEL,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,CALLE 13 A NO. 83 - 25/65,COLOMBIA,"0",OK,"Bogota, Colombia",ChIJKcumLf2bP44RFDmjIFVjnSM,APPROXIMATE,"4.710988599999999,-74.072092"
"481",EDS A GAS LAS FLORES Y/O JAVIER LEYVA GONZALEZ,ESTACI�N DE SERVICIO A GAS LAS,BOGOT�,CUNDINAMARCA,CALLE 25 SUR NO. 86-50,COLOMBIA,"0",OK,"Cl. 25 Sur ##8-86, Bogotá, Colombia",ChIJCfOIX-mYP44Rsn1kJMhtOIY,ROOFTOP,"4.5724667,-74.0959682"
"483",EDS CARREFOUR SAN CAYETANO,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,CALLE 46 A N 85 A 51,COLOMBIA,"0",OK,"Cl. 46 Sur, Kennedy, Bogotá, Colombia",ChIJp6CUj3-eP44RQQfiuei8emw,GEOMETRIC_CENTER,"4.627778,-74.17367999999999"
"484",EDS CARREFOUR VERAGUAS,CENCOSUD,BOGOT�,CUNDINAMARCA,CALLE 3 NO. 34 A 82,COLOMBIA,"0",OK,"Ac. 3 #34A-82, Puente Aranda, Bogotá, Colombia",ChIJOe5-rECZP44R77R6VNXuKzE,ROOFTOP,"4.6078892,-74.10617950000001"
"487",EDS CALLE 50,JAIRO AUGUSTO QUIJANO CARRILLO,BOGOT�,CUNDINAMARCA,CARRERA 17 NO. 50 - 42,COLOMBIA,"0",OK,"Cra. 17 #50-42, Bogotá, Colombia",EiFDcmEuIDE3ICM1MC00MiwgQm9nb3TDoSwgQ29sb21iaWEiGhIYChQKEgk9I3SWMZo_jhFc5Q8grNMPjBAq,RANGE_INTERPOLATED,"4.6382916,-74.0693514"
"506",EDS EL PROVEEDOR DE COMBUSTIBLES LTDA,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,CALLE 13 NO. 33 - 10 BOGOT�,COLOMBIA,"0",OK,"Cl. 13 #33-10, Bogotá, Colombia",ChIJZUJLq2iZP44R-s5Jp5BwAes,ROOFTOP,"4.6170199,-74.0946366"
"507",CALLE 80,GRANDES SUPERFICIES DE COLOMBIA,BOGOT�,CUNDINAMARCA,AV.CALLE 80 NO 69Q - 50,COLOMBIA,"0",OK,"Av cll 80 N° 69Q-50, Bogotá, Cundinamarca, Colombia",ChIJdZMFdyGbP44RmbyPo5AaTQM,GEOMETRIC_CENTER,"4.690959299999999,-74.0841774"
"508",CALLE 170,GRANDES SUPERFICIES DE COLOMBIA,BOGOT�,CUNDINAMARCA,CALLE 170 NO 64 - 42,COLOMBIA,"0",OK,"Cl. 170 #64-47, Bogotá, Cundinamarca, Colombia",ChIJFSwVcqOFP44R9PpLN0ODn2M,ROOFTOP,"4.7564955,-74.0652502"
"509",HAYUELOS,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,AK 86 NO 19A - 50,COLOMBIA,"0",OK,"Ak. 86 ##19A-50, Bogotá, Colombia",ChIJ5cBdFnycP44RR2FmMtyO5GU,ROOFTOP,"4.662495,-74.1320968"
"510",CRA 30,GRANDES SUPERFICIES DE COLOMBIA,BOGOT�,CUNDINAMARCA,CRA 32 NO 18 - 10,COLOMBIA,"0",OK,"Cra. 32 #18-10, Bogotá, Colombia",EiFDcmEuIDMyICMxOC0xMCwgQm9nb3TDoSwgQ29sb21iaWEiGhIYChQKEgkTJVUgZZk_jhErDIm1ljnLWhAK,RANGE_INTERPOLATED,"4.6193034,-74.0901887"
"511",AUTO SUR,GRANDES SUPERFICIES DE COLOMBIA,BOGOT�,CUNDINAMARCA,AUTOPISTA SUR NO 77A - 18,COLOMBIA,"0",OK,"Autopista Sur #77a-18, Bogotá, Colombia",EihBdXRvcGlzdGEgU3VyICM3N2EtMTgsIEJvZ290w6EsIENvbG9tYmlhIhoSGAoUChIJUwz_0lGeP44R1-S90z0F2fEQEg,RANGE_INTERPOLATED,"4.5966943,-74.18209639999999"
"512",TEXACO 24,GRANDES SUPERFICIES DE COLOMBIA,BOGOT�,CUNDINAMARCA,CRA 24 NO. 5 B - 40,COLOMBIA,"0",OK,"Cra. 24 #5b-40, Antonio Nariño, Bogotá, Colombia",ChIJ_zFAWRGZP44ROci1jhgxb08,ROOFTOP,"4.6020521,-74.09361870000001"
"542",EDS GAZEL LA MARIANA,ORGANIZACI�N TERPEL S.A.,BOGOT�,CUNDINAMARCA,DIAGONAL 2B NO. 85-10,COLOMBIA,"0",OK,"Dg. 2b ##85-10, Bogotá, Colombia",ChIJFZzb2zqcP44RWvyk4nWmw78,ROOFTOP,"4.6394636,-74.1566934"
"543",EDS GAZEL PALMAS DE TUMACO,ORGANIZACI�N TERPEL S.A.,BOGOT�,CUNDINAMARCA,CARRERA 68 NO. 17-65,COLOMBIA,"0",OK,"Calle 17, Ak 68, Bogotá, Colombia",ChIJG9BAAfGbP44RLiEpAW9PVs8,GEOMETRIC_CENTER,"4.640436,-74.115471"
"544",EDS GAZEL SUPER GAS - SANTA LUCIA,NESTOR GONZALEZ_GAZEL,BOGOT�,CUNDINAMARCA,CARREA 16B NO. 55A 59,COLOMBIA,"0",OK,"Cra. 55a, Barrios Unidos, Bogotá, Colombia",ChIJjSg0-_yaP44RHBoXNC7iqac,GEOMETRIC_CENTER,"4.6747474,-74.073624"
"545",EDS GAZEL TERPEL AURES II,EMPRESA ADMINISTRADORA DE,BOGOT�,CUNDINAMARCA,AV CLLE 132 No. 109 A 65 Suba Aures II,COLOMBIA,"0",OK,"Cl 132 #109a-65, Bogotá, Colombia",EiJDbCAxMzIgIzEwOWEtNjUsIEJvZ290w6EsIENvbG9tYmlhIhoSGAoUChIJJedvf42EP44RUAJsS0wAuTcQQQ,RANGE_INTERPOLATED,"4.7374196,-74.1034227"
"546",EDS GAZEL TERPEL PALOQUEMAO,TERCERO_GAZEL,BOGOT�,CUNDINAMARCA,AVENIDA CALLE 19 NO. 33-98,COLOMBIA,"0",OK,"Av. Cdad. de Lima #33-98, Bogotá, Colombia",EitBdi4gQ2RhZC4gZGUgTGltYSAjMzMtOTgsIEJvZ290w6EsIENvbG9tYmlhIhoSGAoUChIJ6V0EjWSZP44RSdhJ-C4c4KwQYg,RANGE_INTERPOLATED,"4.6214118,-74.0914829"
"585",EDS SUPER BRIO USME,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,Carrera 51 sur # 5 D - 70,COLOMBIA,"0",OK,"Dg. 51 Sur #5 D - 70, Tunjuelito, Bogotá, Colombia",EjNEZy4gNTEgU3VyICM1IEQgLSA3MCwgVHVuanVlbGl0bywgQm9nb3TDoSwgQ29sb21iaWEiIhogChYKFAoSCWHjwhvfnj-OEXeMrHfe3UU5EgZEIC0gNzA,ROOFTOP,"4.590571400000001,-74.14350180000001"
"590",EDS LAS QUINTAS,INVERSIONES CARRE�O GUTIERREZ,BOGOT�,CUNDINAMARCA,KM. 1 V�A A SINCELEJO,COLOMBIA,"0",OK,"Sincelejo, Sucre, Colombia",ChIJVykXQUgUWY4RNFOe93u4tdQ,APPROXIMATE,"9.3045773,-75.39055669999999"
"611",EDS AVENIDA TERCERA,SERVICENTRO ESSO AVENIDA TERCERA,BOGOT�,CUNDINAMARCA,CARRERA LA NO. 17-18,COLOMBIA,"0",OK,"Cra. 18 ##93A - 83, Bogotá, Cundinamarca, Colombia",ChIJhaVFNJOaP44RqaUz70SRL5M,ROOFTOP,"4.6797097,-74.0534596"
"624",EDS_ANTARES_TEXACO,TEXACO,BOGOT�,CUNDINAMARCA,CARRERA 25 NO. 75-201,COLOMBIA,"0",OK,"Cra. 25 #75, Bogotá, Colombia",ChIJGQJ9nVGaP44Rfw2NCjfCFQo,ROOFTOP,"4.659085999999999,-74.07025399999999"
"625",EDS_GAZEL_LA_MARIANA,GAZEL,BOGOT�,CUNDINAMARCA,AVENIDA LAS AM�RICAS LOTE B2 NARANJITO. PEREIRA,COLOMBIA,"0",OK,"Naranjito, Puerto Rico",ChIJraVLh1o_A4wRzDrtHSHnAqs,APPROXIMATE,"18.3007861,-66.2448904"
"634",EDS_CALLE_13,YESID HERNANDEZ QUINTERO,BOGOT�,CUNDINAMARCA,CALLE 71 NO. 21-110 BARRIO LA LIBERTAD,COLOMBIA,"0",OK,"Cl. 71 #21, Bogotá, Colombia",ChIJXRcc1VaaP44R96GyD_EuhmM,ROOFTOP,"4.661646,-74.068364"
"639",ESTACION DE SERVICIO AUTOMOTRIZ MILENIUM GAS CALLE 13,MOVILGAS LTDA - GERARDO JAVIER,BOGOTA,CUNDINAMARCA,AVENIDA CALLE 17 NO. 78G - 11,COLOMBIA,"0",OK,"Ac. 17 #78g-11, Bogotá, Colombia",EiFBYy4gMTcgIzc4Zy0xMSwgQm9nb3TDoSwgQ29sb21iaWEiGhIYChQKEglRld9EcZw_jhEGsgcC1TuITRAL,RANGE_INTERPOLATED,"4.6537765,-74.1308501"
"640",EDS_JUAN_MARTIN_,SERVINGENIERIA S.A.,BOGOT�,CUNDINAMARCA,CLLE 46 F SUR NO. 39-64 TEL 2767382 EDE ZEUS RETORNO  SIETE VIA AUTOPISTA,COLOMBIA,"0",OK,"Bogota, Colombia",ChIJKcumLf2bP44RFDmjIFVjnSM,APPROXIMATE,"4.710988599999999,-74.072092"
"648",EDS FONTIBON,SIGURGAS,BOGOT�,CUNDINAMARCA,CARRERA 45 NO. 58-21,COLOMBIA,"0",OK,"Cra 45 #58-21, Bogotá, Colombia",EiBDcmEgNDUgIzU4LTIxLCBCb2dvdMOhLCBDb2xvbWJpYSIaEhgKFAoSCTkugnu2mz-OES7kssF0MXVkEBU,RANGE_INTERPOLATED,"4.6489892,-74.0836173"
"668",EDS CALLE 13,GNE SOLUCIONES SAS,BOGOT�,CUNDINAMARCA,CARRERA 88 No. 17 - 09,COLOMBIA,"0",OK,"Cra. 88 #17-09, Bogotá, Cundinamarca, Colombia",ChIJnSfYyhmdP44RPFULldYXNMg,ROOFTOP,"4.6617974,-74.1378446"
"679",EDS GNV LA 17,STANDARD ENERGY  COMPANY  -,BOGOT�,CUNDINAMARCA,CARRERA 27 N� 16 - 51 SUR,COLOMBIA,"0",OK,"Cra. 27 #16, Bogotá, Colombia",ChIJg65dTiGZP44RtxJNe6pbUHA,ROOFTOP,"4.5918483,-74.10589580000001"
"685",EDS PATIOS,M JUAN MARTIN LTDA,BOGOT�,CUNDINAMARCA,KM 6 VIA LA CALERA,COLOMBIA,"0",OK,"Bogotá - La Calera #Km. 6, Bogotá, Colombia",ChIJ177-AYSRP44RKbRp3Xycrhc,ROOFTOP,"4.6662237,-74.01411709999999"
"689",EDS GNV LA SIBERIA,PETROLMIL,BOGOT�,CUNDINAMARCA,CRA 498No. 103B -81 / PBX: (57-1) 61701 73 - 61701 74 FAX: (57-1) 61701 66 ERNAIL:,COLOMBIA,"0",OK,"Cl. 57, Bogotá, Colombia",ChIJy5IrhUqaP44RBth6P0rd01o,GEOMETRIC_CENTER,"4.645548,-74.0741491"
"703",EDS TRIANGULO,TRANSAGA S.A.S,BOGOT�,CUNDINAMARCA,CALLE 16 NO 1-26,COLOMBIA,"0",OK,"Bogota, Colombia",ChIJKcumLf2bP44RFDmjIFVjnSM,APPROXIMATE,"4.710988599999999,-74.072092"
"705",EDS 7 DE AGOSTO,COLOMBIANA DE HIDROCARBUROS,BOGOT�,CUNDINAMARCA,AV. CALLE 71 SUR NO 31-40.,COLOMBIA,"0",OK,"Cl. 71 Sur #3-1, Bogotá, Colombia",EiJDbC4gNzEgU3VyICMzLTEsIEJvZ290w6EsIENvbG9tYmlhIhoSGAoUChIJV2Ia-SaiP44RdGwp0_FvbpQQAQ,RANGE_INTERPOLATED,"4.5209262,-74.12039519999999"
"718",EDS SODEN,MADIGAS HIDROCARBUROS S.A.,BOGOT�,CUNDINAMARCA,CARRERA 9 No. 56N-115,COLOMBIA,"0",OK,"Cra. 9 ##21-56, Chía, Cundinamarca, Colombia",ChIJo__5LnV4QI4Rqz16IcnQP5A,ROOFTOP,"4.8681776,-74.0539945"
"720",EDS GERMANIA,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,CON NOMENCLATURA - CARRETERA TRONCAL DE OCCIDENTE,COLOMBIA,"0",OK,"Av Troncal de Occidente 20-85, Mosquera, Cundinamarca, Colombia",ChIJlWlhQxZ4P44R0trVc3rvTgQ,GEOMETRIC_CENTER,"4.7203872,-74.24114089999999"
"721",EDS ESSO 37,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,CRA 7A NO. 26-25,COLOMBIA,"0",OK,"Cra. 7a ##140-26, Bogotá, Cundinamarca, Colombia",ChIJb-wn5vePP44RmpmVduCT0Ak,ROOFTOP,"4.7165818,-74.0292819"
"722",EDS BARRIO COLOMBIA,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,"CARRETERA EL VIAJANO - SAN MARCOS, KM. 11,6 CORREGIMIENTO EL CRUCERO, EN",COLOMBIA,"0",OK,"El Viajano - San Marcos, El Crucero, Sahagún, Córdoba, Colombia",EkFFbCBWaWFqYW5vIC0gU2FuIE1hcmNvcywgRWwgQ3J1Y2VybywgU2FoYWfDum4sIEPDs3Jkb2JhLCBDb2xvbWJpYSIuKiwKFAoSCcED0p5ixluOEd2lNBKq5NIlEhQKEgn_Se_RZMFbjhEd9JnH_znMYw,GEOMETRIC_CENTER,"8.6312903,-75.39728319999999"
"733",ESTACION DE SERVICIO AUTOMOTRIZ TERPEL FONTIBON,ORGANIZACI�N TERPEL S.A.,BOGOT�,CUNDINAMARCA,CALLE22 N 98A 03 FONTIBON,COLOMBIA,"0",OK,"Cl. 22 #98A-03, Fontibón, Bogotá, Colombia",ChIJL-U9Yo6cP44RX7OHjgLZ92A,ROOFTOP,"4.6757697,-74.1405782"
"734",EDS TERPEL AV BOYACA,ORGANIZACI�N TERPEL S.A.,BOGOT�,CUNDINAMARCA,AVENIDA BOYACA 77 A - 15,COLOMBIA,"0",OK,"Av. Boyacá #77a-15, Bogotá, Colombia",EiZBdi4gQm95YWPDoSAjNzdhLTE1LCBCb2dvdMOhLCBDb2xvbWJpYSIaEhgKFAoSCXdUeAs7mz-OESr9l7J6ELuUEA8,RANGE_INTERPOLATED,"4.6935465,-74.091399"
"735",CARREFOUR ALAMOS,ORGANIZACI�N TERPEL S.A.,BOGOT�,CUNDINAMARCA,AV 72 N. 91A-45,COLOMBIA,"0",OK,"Cl. 72 #91a-45, Bogotá, Colombia",EiFDbC4gNzIgIzkxYS00NSwgQm9nb3TDoSwgQ29sb21iaWEiGhIYChQKEgm3MHW4T5s_jhE8MTK7FiokFxAt,RANGE_INTERPOLATED,"4.6993333,-74.1108818"
"748",ESTACION DE SERVICIO LA ISABELA,JUAN MARTIN LTDA,BOGOT�,CUNDINAMARCA,DIAGONAL 63 F No. 86-34 localidad de Engativ a,COLOMBIA,"0",OK,"Dg. 63f #86-34, Bogotá, Colombia",EiFEZy4gNjNmICM4Ni0zNCwgQm9nb3TDoSwgQ29sb21iaWEiGhIYChQKEgkz0A23Z5s_jhEgA3LehSGKHRAi,RANGE_INTERPOLATED,"4.6852563,-74.1138756"
