No,NOMBRE,PROPIETARI,MUNICIPIO,DEPARTAMEN,DIRECCION,PAIS,result_num,status,formatted_,place_id,location_t,latlong
"64",EDS COMPADICOM TEXACO 68,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,CARRERA 68 NO. 2C - 84,COLOMBIA,"0",OK,"Ak 68 #2c84, Bogotá, Cundinamarca, Colombia",ChIJG_6jU6ueP44RG8pNrbLGAWo,ROOFTOP,"4.623373,-74.1242054"
"66",TEXACO CIUDAD BOLIVAR,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,"DIAG. 61 SUR NO. 22 - 36 - DIAGONAL 62 SUR N 21� - 36 BARRIO SAN FRANCISCO,",COLOMBIA,"0",OK,"Dg. 62 Sur #22-36 N 21� - 36, Bogotá, Colombia",EjFEZy4gNjIgU3VyICMyMi0zNiBOIDIx77-9IC0gMzYsIEJvZ290w6EsIENvbG9tYmlhIiwaKgoaEhgKFAoSCYNA0_dAnz-OEUlbb6ZQXjS9ECQSDE4gMjHvv70gLSAzNg,RANGE_INTERPOLATED,"4.5669143,-74.14452779999999"
"74",MOBIL TIMIZA,COMBUSTIBLES Y  SERVICIOS,BOGOT�,CUNDINAMARCA,CARRERA 73 NO. 36 A - 55 SUR,COLOMBIA,"0",OK,"Cra. 73 #36A-55, Kennedy, Bogotá, Colombia",ChIJiTuaSb2eP44RVCmEXVB5WDA,ROOFTOP,"4.618077599999999,-74.1461672"
"76",EDS GAZEL TERPEL LA JUANA,ORGANIZACI�N TERPEL S.A.,BOGOT�,CUNDINAMARCA,AVENIDA 7 NO. 155 A - 71,COLOMBIA,"0",OK,"Cl. 155a #7-1 7, Bogotá, Colombia",EiJDbC4gMTU1YSAjNy0xIDcsIEJvZ290w6EsIENvbG9tYmlhIiEaHwoaEhgKFAoSCYOSNleJjz-OEXh0l98XolJ6EAESATc,RANGE_INTERPOLATED,"4.7305971,-74.0246489"
"95",EDS BRIO EL MOCHUELO,INVERSIONES EL MOCHUELO S.A.,BOGOT�,CUNDINAMARCA,AVENIDA CRA 9 No 103-39,COLOMBIA,"0",OK,"Ak. 9 #103-39, Bogotá, Colombia",EiBBay4gOSAjMTAzLTM5LCBCb2dvdMOhLCBDb2xvbWJpYSIaEhgKFAoSCTV2OnS9mj-OEd98yLQaANUuECc,RANGE_INTERPOLATED,"4.6868511,-74.0445491"
"97",EDS GAZEL TEXACO 8,COMBUSTIBLES DE COLOMBIA S.A.,BOGOT�,CUNDINAMARCA,CARRERA 7 NO. 51 - 28,COLOMBIA,"0",OK,"Cra. 7 #51-28, Bogotá, Colombia",ChIJ64jBwzqaP44RMek42pPEu9E,ROOFTOP,"4.637533299999999,-74.0631334"
"98",EDS GAZEL TEXACO 30,COMBUSTIBLES DE COLOMBIA S.A.,BOGOT�,CUNDINAMARCA,AV. EL DORADO NO. 66 - 28,COLOMBIA,"0",OK,"Av. El Dorado #66-28, Bogotá, Colombia",EidBdi4gRWwgRG9yYWRvICM2Ni0yOCwgQm9nb3TDoSwgQ29sb21iaWEiGhIYChQKEgkrGKJ3lZs_jhFVbh6KQ6WkGBAc,RANGE_INTERPOLATED,"4.6497518,-74.1014028"
"99",EDS TERCER MILENIO,GAS VEHICULAR COMPRIMIDO DE,BOGOT�,CUNDINAMARCA,AVENIDA CARACAS NO. 2 - 34,COLOMBIA,"0",OK,"Av. Caracas #2-34, Bogotá, Colombia",ChIJh62V4xyZP44R8xmj4KdYfpY,ROOFTOP,"4.5900133,-74.0906991"
"103",GNV 1GAS,INSETRANSA,BOGOT�,CUNDINAMARCA,AV. CALI NO. 13C - 51,COLOMBIA,"0",OK,"Ak. 86 #13C-51, Bogotá, Colombia",ChIJ7f37F2-cP44R9135uEkEIlY,ROOFTOP,"4.6564926,-74.1399612"
"107",TEXACO CALLE 153,COMBUSTIBLES CAPITAL,BOGOT�,CUNDINAMARCA,CARRERA 7 CON CALLLE 153,COLOMBIA,"0",OK,"Cra. 7 ##153-8, Bogotá, Cundinamarca, Colombia",ChIJU9vAeIuPP44Rps9XwB9zrWg,ROOFTOP,"4.7285374,-74.0240532"
"108",AVENIDA BOYACA,GAS NATURAL VEHICULAR SAN,BOGOT�,CUNDINAMARCA,CALLE 36 SUR NO. 70B - 70,COLOMBIA,"0",OK,"Cl. 36 Sur ###70b 57, Bogotá, Colombia",ChIJRUWprZufP44RgsWLPK1H2gg,ROOFTOP,"4.614814099999999,-74.1397776"
"109",AUTO SUR,GAS NATURAL VEHICULAR SAN,BOGOT�,CUNDINAMARCA,AUTOPISTA SUR NO. 32 - 84,COLOMBIA,"0",OK,"Autopista Sur #32-84, Soacha, Cundinamarca, Colombia",EjRBdXRvcGlzdGEgU3VyICMzMi04NCwgU29hY2hhLCBDdW5kaW5hbWFyY2EsIENvbG9tYmlhIhoSGAoUChIJi7gY9syfP44RrVwtZNA2RX0QVA,RANGE_INTERPOLATED,"4.5869747,-74.2023526"
"111",EDS UNOGAS,COPEC Y  CIA LTDA,BOGOT�,CUNDINAMARCA,AV. 27 NO. 30 - 06 SUR,COLOMBIA,"0",OK,"Bogota, Colombia",ChIJKcumLf2bP44RFDmjIFVjnSM,APPROXIMATE,"4.710988599999999,-74.072092"
"115",EDS LAS VEGAS,ORGANIZACI�N TERPEL S.A.,BOGOT�,CUNDINAMARCA,CARRERA 51 NO. 58D - 17 SUR,COLOMBIA,"0",OK,"Cra. 51, Barrios Unidos, Bogotá, Colombia",ChIJm8ghkf-aP44RNRtSVBSWP1Y,GEOMETRIC_CENTER,"4.6673915,-74.0754797"
"118",EDS GAZEL COLON,ORGANIZACI�N TERPEL S.A.,BOGOT�,CUNDINAMARCA,CALLE 13 NO. 55 - 14,COLOMBIA,"0",OK,"Cl. 12b #71D7, Bogotá, Cundinamarca, Colombia",ChIJRwe7HKeZP44RxqchzdrWs9Y,ROOFTOP,"4.600036999999999,-74.074383"
"129",EDS TERPEL PALOQUEMAO,JAIRO ARMANDO LOVERA CAMPOS,BOGOT�,CUNDINAMARCA,CARRERA 34 NO. 18A - 38,COLOMBIA,"0",OK,"Cra. 34 #18-31, Puente Aranda, Bogotá, Colombia",ChIJhcBIYmSZP44Rg8FVLITKJFE,ROOFTOP,"4.6216129,-74.0921073"
"131",AUTOSERVICIO AV. TERCERA,DISCARBURANTES LTDA,BOGOT�,CUNDINAMARCA,AV. CALLE 3 NO. 34 A - 82,COLOMBIA,"0",OK,"Ac. 3 #34A-82, Puente Aranda, Bogotá, Colombia",ChIJOe5-rECZP44R77R6VNXuKzE,ROOFTOP,"4.6078892,-74.10617950000001"
"132",EDS TERPEL TRINIDAD,ORGANIZACI�N TERPEL S.A.,BOGOT�,CUNDINAMARCA,AV. 68 NO. 2C - 30,COLOMBIA,"0",OK,"Ak 68 ##68b-31, Bogotá, Cundinamarca, Colombia",ChIJJW78ksmeP44RyInWXSFBgU8,ROOFTOP,"4.672768899999999,-74.0894253"
"138",EDS SHELL BALUARTE,VANNET S.A,BOGOT�,CUNDINAMARCA,TRANSVERSAL 72 NO. 35 - 09 SUR,COLOMBIA,"0",OK,"Tv. 72, Kennedy, Bogotá, Colombia",ChIJe4DAn92eP44RRLXQ4jnjXHk,GEOMETRIC_CENTER,"4.595943800000001,-74.14612430000001"
"142",EDS PASTRANITA GNV,PROCOLGAS GNV S.A,BOGOT�,CUNDINAMARCA,AVENIDA 1 MAYO NO. 79 - 25,COLOMBIA,"0",OK,"Av. 1 de Mayo #79g9, Bogotá, Colombia",ChIJUSrP1mOeP44Rfp2o2QkOuQQ,ROOFTOP,"4.614414099999999,-74.1743159"
"148",EDS TEXACO 27,SODEN LTDA,BOGOT�,CUNDINAMARCA,AVENIDA 57 NO. 71 - 14,COLOMBIA,"0",OK,"Cl. 57 #71, Bogotá, Colombia",ChIJvyV21TmaP44RNp8mRAwZ5AA,ROOFTOP,"4.643861999999999,-74.065201"
