No;NOMBRE;PROPIETARIO;MUNICIPIO;DEPARTAMENTO;DIRECCION;PAIS
507;CALLE 80;GRANDES SUPERFICIES DE COLOMBIA;BOGOTÁ;CUNDINAMARCA;AV.CALLE 80 NO 69Q - 50;COLOMBIA
508;CALLE 170;GRANDES SUPERFICIES DE COLOMBIA;BOGOTÁ;CUNDINAMARCA;CALLE 170 NO 64 - 42;COLOMBIA
509;HAYUELOS;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;AK 86 NO 19A - 50;COLOMBIA
510;CRA 30;GRANDES SUPERFICIES DE COLOMBIA;BOGOTÁ;CUNDINAMARCA;CRA 32 NO 18 - 10;COLOMBIA
511;AUTO SUR;GRANDES SUPERFICIES DE COLOMBIA;BOGOTÁ;CUNDINAMARCA;AUTOPISTA SUR NO 77A - 18;COLOMBIA
512;TEXACO 24;GRANDES SUPERFICIES DE COLOMBIA;BOGOTÁ;CUNDINAMARCA;CRA 24 NO. 5 B - 40;COLOMBIA
513;AV. CIUDAD DE CALI;ORGANIZACIÓN TERPEL S.A.;BOGOTÁ;CUNDINAMARCA;AV. CRA. 86 NO. 15 A - 80;COLOMBIA
542;EDS GAZEL LA MARIANA;ORGANIZACIÓN TERPEL S.A.;BOGOTÁ;CUNDINAMARCA;DIAGONAL 2B NO. 85-10;COLOMBIA
543;EDS GAZEL PALMAS DE TUMACO;ORGANIZACIÓN TERPEL S.A.;BOGOTÁ;CUNDINAMARCA;CARRERA 68 NO. 17-65;COLOMBIA
544;EDS GAZEL SUPER GAS - SANTA LUCIA;NESTOR GONZALEZ_GAZEL;BOGOTÁ;CUNDINAMARCA;CARREA 16B NO. 55A 59;COLOMBIA
545;EDS GAZEL TERPEL AURES II;EMPRESA ADMINISTRADORA DE;BOGOTÁ;CUNDINAMARCA;AV CLLE 132 No. 109 A 65 Suba Aures II;COLOMBIA
546;EDS GAZEL TERPEL PALOQUEMAO;TERCERO_GAZEL;BOGOTÁ;CUNDINAMARCA;AVENIDA CALLE 19 NO. 33-98;COLOMBIA
547;EDS GAZEL TEXACO FLOTA BLANCA;RODRIGO CARDONA_GAZEL;BOGOTÁ;CUNDINAMARCA;CALLE 80 NO. 90-29;COLOMBIA
561;EDS TERPEL EL PORVENIR;JANETT ZUÑIGA DIAZ_GAZEL;BOGOTÁ;CUNDINAMARCA;CRA 5 ESTE NO. 15-21;COLOMBIA
562;EDS PANAMCO NORTE;TERCERO_GAZEL;BOGOTÁ;CUNDINAMARCA;CRA 96 NO 24 C-94 NORTE;COLOMBIA
563;EDS PANAMCO SUR;TERCERO_GAZEL;BOGOTÁ;CUNDINAMARCA;AUTOPISTA SUR NO. 77 -20;COLOMBIA
585;EDS SUPER BRIO USME;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;Carrera 51 sur # 5 D - 70;COLOMBIA
590;EDS LAS QUINTAS;INVERSIONES CARREÑO GUTIERREZ;BOGOTÁ;CUNDINAMARCA;KM. 1 VÍA A SINCELEJO;COLOMBIA
598;EDS DUAL 2;GAS NATURAL ANDINO S.A.;BOGOTÁ;CUNDINAMARCA;CARRERA 10 NO. 5-84;COLOMBIA
611;EDS AVENIDA TERCERA;SERVICENTRO ESSO AVENIDA TERCERA;BOGOTÁ;CUNDINAMARCA;CARRERA LA NO. 17-18;COLOMBIA
624;EDS_ANTARES_TEXACO;TEXACO;BOGOTÁ;CUNDINAMARCA;CARRERA 25 NO. 75-201;COLOMBIA
625;EDS_GAZEL_LA_MARIANA;GAZEL;BOGOTÁ;CUNDINAMARCA;AVENIDA LAS AMÉRICAS LOTE B2 NARANJITO. PEREIRA;COLOMBIA
634;EDS_CALLE_13;YESID HERNANDEZ QUINTERO;BOGOTÁ;CUNDINAMARCA;CALLE 71 NO. 21-110 BARRIO LA LIBERTAD;COLOMBIA
639;ESTACION DE SERVICIO AUTOMOTRIZ MILENIUM GAS CALLE 13;MOVILGAS LTDA - GERARDO JAVIER;BOGOTA;CUNDINAMARCA;AVENIDA CALLE 17 NO. 78G - 11;COLOMBIA
640;EDS_JUAN_MARTIN_;SERVINGENIERIA S.A.;BOGOTÁ;CUNDINAMARCA;CLLE 46 F SUR NO. 39-64 TEL 2767382 EDE ZEUS RETORNO  SIETE VIA AUTOPISTA;COLOMBIA
648;EDS FONTIBON;SIGURGAS;BOGOTÁ;CUNDINAMARCA;CARRERA 45 NO. 58-21;COLOMBIA
651;EDS SANTA SOFIA USME;UNIÓN TEMPORAL DE COMBUSTIBLES;BOGOTÁ;CUNDINAMARCA;CALLE  68B SUR BOGOTA;COLOMBIA
667;EDS BIOMAX ISABELA;GNE SOLUCIONES SAS;BOGOTÁ;CUNDINAMARCA;CARRERA 48 NO. 21-34 SUR;COLOMBIA
668;EDS CALLE 13;GNE SOLUCIONES SAS;BOGOTÁ;CUNDINAMARCA;CARRERA 88 No. 17 - 09;COLOMBIA
679;EDS GNV LA 17;STANDARD ENERGY  COMPANY  -;BOGOTÁ;CUNDINAMARCA;CARRERA 27 N° 16 - 51 SUR;COLOMBIA
685;EDS PATIOS;M JUAN MARTIN LTDA;BOGOTÁ;CUNDINAMARCA;KM 6 VIA LA CALERA;COLOMBIA
689;EDS GNV LA SIBERIA;PETROLMIL;BOGOTÁ;CUNDINAMARCA;CRA 498No. 103B -81 / PBX: (57-1) 61701 73 - 61701 74 FAX: (57-1) 61701 66 ERNAIL:;COLOMBIA
695;EDS DE SERVICIO MIXTA TERPEL AV BOYACÁ;INVERSIONES LA GLORIETA;BOGOTÁ;CUNDINAMARCA;PARAJE PADILLA KM 1 VÍA AL VALLE;COLOMBIA
703;EDS TRIANGULO;TRANSAGA S.A.S;BOGOTÁ;CUNDINAMARCA;CALLE 16 NO 1-26;COLOMBIA
705;EDS 7 DE AGOSTO;COLOMBIANA DE HIDROCARBUROS;BOGOTÁ;CUNDINAMARCA;AV. CALLE 71 SUR NO 31-40.;COLOMBIA
718;EDS SODEN;MADIGAS HIDROCARBUROS S.A.;BOGOTÁ;CUNDINAMARCA;CARRERA 9 No. 56N-115;COLOMBIA
719;EDS SANTANA;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CARRERA 100 73A12 LA NAVARRA;COLOMBIA
720;EDS GERMANIA;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CON NOMENCLATURA - CARRETERA TRONCAL DE OCCIDENTE;COLOMBIA
721;EDS ESSO 37;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CRA 7A NO. 26-25;COLOMBIA
